Registered Company Name,Name to display,Description,Age of company,Available Cities,Link to official website,Contact Person Name,Designation,Contact Number,Min-Max Budget,Type,  Company Logo,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Discounts,No.of projects completed,Digital Brochure (if available),Testimonials,Contact Email,Google Rating,Google Reviews,Google Location,Any Awards won?,USP,Score
Homevista Decor and Furnishings Private Limited,HomeLane,"We’re here to hand-hold you through the beautiful yet overwhelming process of decorating your home. We understand it is a huge milestone in life to buy your home and every element in it plays a role. Over the past 8 years, we have been a part of this precious journey for thousands of homeowners from choosing the right designer, fitting the designs with their space, executing the furniture; and all this in the most seamless and cost effective way. We combine our understanding of your requirements, aspirations with expertise for homebuyers to make their dream home ideas become a reality. Making home interiors easy, HomeLane is India’s premier end to end home interiors platform which delivers your chosen home interiors within 45 days, or we pay you rent. Our tech-empowered teams have delivered over 25,000 homes with 100+ product vendors, 6+ manufacturing partners and 2000+ employees working at present. In just 8 years we have opened our showrooms in 28+ cities and we have a total of 45+ experience centers pan-India. Voted as the best brand in the interiors category by Economic Times (2020), we are just getting started. Visit us on www.homelane.com to book your first free online design consultation.",11,"Ahmedabad, Bengaluru, Bhubaneswar, Chennai, Coimbatore, Ghaziabad, Gurgaon, Hyderabad, Jaipur, Kochi, Kolkata, Lucknow, Madurai, Mumbai, Mysore, Nagpur, New Delhi, Noida, Pune, Ranchi, Salem, Surat, Trichy, Visakhapatnam",https://www.homelane.com/,Srikanth B Iyer,Chief Executive Officer,919606023349,1 to 50 Lakhs,Residential,1_logo.jpg,1_a.jpg,1_b.jpg,1_c.jpg,1_d.jpg,1_e.jpg,1_f.jpg,1_g.jpg,1_h.jpg,1_i.jpg,1_j.jpg,,35000.0,,1_reviews.jpg,srikanth@homelane.com,4.5,202,"https://www.google.com/maps/place/HomeLane,+Varthur,+Bengaluru:+India's+most+trusted+home+interiors+brand/@12.9420726,77.747244,15z/data=!4m6!3m5!1s0x3bae0d8b070b2405:0x7cc71362b7c99fa5!8m2!3d12.9420726!4d77.747244!16s%2Fg%2F11rzwp61j1?entry=ttu", Economic Times Best Brands 2020,,2.15
TASA Interior Designer,TASA,"We, TASA Interior Designer in Bangalore, are the architectural cum interior firm transforming the lives of clients by creating comfortable functional spaces within their home or workplace. Our firm was established on 16th June 2000 with a dream of creating firm transforming the lives of clients by creating comfortable functional spaces within their home or workplace. Our firm was established on 16th June 2000 with a dream of creating an ambience with unique interior designs in Bangalore that would redefine people’s lifestyle both at home and work place. Since then 25 successful years  and we have tons of invaluable hand’s full of experience that always inspires us to deliver the best in every project we take.",25,Bengaluru,https://tasainteriordesigner.com/,Mr. G Sunil Kapse Koteshwar,Co-founder,919241117111,1 to 50 Lakhs,Residential,2_logo.jpg,2_a.jpg,2_b.jpg,2_c.jpg,2_d.jpg,2_e.jpg,2_f.jpg,2_g.jpg,2_h.jpg,2_i.jpg,2_j.jpg,,,,2_reviews.jpg,support@tasainteriordesigner.com,4.7,174,"https://www.google.com/maps/place/TASA+Interior+Designer+-+Interior+Designer+in+Bangalore/@13.0379589,77.6648735,15z/data=!4m6!3m5!1s0x3bae15b31693cb2f:0x7333aeacbd6f9c48!8m2!3d13.0379589!4d77.6648735!16s%2Fg%2F11g2xyww2k?entry=ttu",,,1.44
CubeDecors,CubeDecors,"Being the best interior designers in Bangalore, Cubedecors has created a new benchmark for astounding interiors and exquisite furnishings. Established in the year 2017, we have completed plenty of successful projects throughout India, including private residences, commercial establishments, home offices, hotels, spas, and a lot more. Our team comprises of top interior architects in Bangalore who efficiently apply the strongest desires of our clients to the designs and transform their dreams into reality. With creativity, detailed attention and consideration, our commercial interior decorators will ensure lifelong value and relationship to our esteemed clients. The overwhelming responses of our clients and their happy smiles are the first-rate evidence for it.",8,Bengaluru,https://cubedecors.com/,Ruhi Farzana,"Founder, CEO",919663224224,1 to 50 Lakhs,"Residential, Commercial",3_logo.jpg,3_a.jpg,3_b.jpg,3_c.jpg,3_d.jpg,3_e.jpg,3_f.jpg,3_g.jpg,3_h.jpg,3_i.jpg,3_j.jpg,,500.0,,3_reviews.jpg,info@cubedecors.com,4.5,286,"https://www.google.com/maps/place/Cubedecors+-+Interior+Designers+in+Bangalore/@12.9164386,77.6357618,15z/data=!4m6!3m5!1s0x3bae13cb42dfb1e1:0xd5250d31b54caec6!8m2!3d12.9164386!4d77.6357618!16s%2Fg%2F11f3nlz574?hl=en&entry=ttu",,,1.9
Swastik Interiors,Swastik Interiors,"We are pleased to introduce ourselves as "" Swastik Interiors Designers & Decorators "" one of the leading interior firm in Bangalore and executing turnkey projects for ""Commercial, Residential & Hospitality interior Services. Our company forms as a sole proprietorship firm, in the year 2013. Since then, we are involved in manufacturing, distributing, trading and supplying a wide assortment of Modular Kitchen, Office Furniture's, Aristo Sliding System, Kitchen Shutters, Wallpaper, Solid Surface (Corian), Kitchen Hardware's & Accessories and many others. The company also specializes in offering trustworthy Interior Designer Services. All our products are designed accurately by creative and specialized team of professionals, who put in their best endeavors to come up with the products that suits to the existing demands of clients. Besides, our never ending quest for excellence as well as perfection in the development of products has helped us creating a distinctive identity in this challenging industry. We span all across the nation just because of our strong and large distribution network. This has enabled us reaching to maximum customers and serve to their demands efficiently within promised time.

interior Decorators
Swastik Interiors are classic, innovative Interiors Designers & Decorators company who believes to convert house to home. We do interiors of Home, Flat, Office, Bungalow, Modular Kitchen, Retail Outlet etc. We are a vertically integrated interior design and manufacturing company, based in Bangalore. We bring cost effective, customized and high-quality designs to your home. We are the best interior designers in bangalore with you from the planning to manufacturing to fitting stages. Our furniture is made to your specifications in a world-class factory.

We’d like to de-mystify, simplify and streamline the process of doing interiors, and we do that with a whole host of innovations and options, from 3D design to free consultation with a highly experienced team of designers. It’s a creative process. Swastik Interiors is expertise & experienced Interior Designer & Decorators in Bangalore. We are able to provide customization services to the customers keeping their choices at priority. Being the most trusted manufacturer and service provider.We offer interior solutions as per the latest trends and at competitive prices. Swastik Interiors is one of the best names when it comes to creative interior designing in Bangalore",12,Bengaluru,https://swastikinteriors.in/,Som Prakash,Founder,919980326058,1 to 50 Lakhs,"Residential, Commercial",4_logo.jpg,4_a.jpg,4_b.jpg,4_c.jpg,4_d.jpg,4_e.jpg,4_f.jpg,4_g.jpg,4_h.jpg,4_i.jpg,4_j.jpg,,,,4_reviews.jpg,info@swastikinteriors.com,4.7,185,"https://www.google.com/maps/place/SWASTIK+INTERIORS/@13.0275838,77.6351786,15z/data=!4m6!3m5!1s0x3bae17ee3b919dd5:0x818513c5c131ae2!8m2!3d13.0275838!4d77.6351786!16s%2Fg%2F11bycjn731?entry=ttu",,,1.44
Magnon,Magnon,"At Magnon, we're committed to crafting interior designs that transcend trends and stand the test of time. We believe in creating spaces that are not just relevant today, but will remain equally inspiring and functional even in the years to come. We understand that your home is a long-term investment, and we take pride in designing spaces that you will cherish for a lifetime.",11,Bengaluru,https://www.magnonindia.com/,Radhakrishnan RK,Founder,918880646464,1 to 50 Lakhs,Residential,5_logo.jpg,5_a.jpg,5_b.jpg,5_c.jpg,5_d.jpg,5_e.jpg,5_f.jpg,5_g.jpg,5_h.jpg,5_i.jpg,5_j.jpg,,4500.0,,5_reviews.jpg,reachus@magnonindia.com,4.3,253,"https://www.google.com/maps/place/Magnon+Interiors+India+Private+Limited/@12.8940845,77.5680765,15z/data=!4m2!3m1!1s0x0:0x84246461821bd92?sa=X&ved=1t:2428&ictx=111",,,1.86
WEA Designs,WEA Designs,"WEA DESIGN INTERIORS is a unique Interior design enterprise offering end-to-end-service architecture and interior design. With a style that is spontaneous yet very refined, we design homes and commercial spaces that are the optical stories of the people living or working there.

Based in Bangalore, the work of WEA DESIGN INTERIORS highlights the sophistication of urban lifestyle with the flavor, and just a twist, of Bangalore City.",10,Bengaluru,https://weadesign.com/,Raghu K,General Manager,917996060000,1 to 50 Lakhs,"Residential, Commercial",6_logo.jpg,6_a.jpg,6_b.jpg,6_c.jpg,6_d.jpg,6_e.jpg,6_f.jpg,6_g.jpg,6_h.jpg,6_i.jpg,6_j.jpg,,1000.0,,6_reviews.jpg,sales@weadesign.com,4.7,179,"https://www.google.com/maps/place/WEA+Designs+Luxury+Interiors+-+Interior+Designers+in+Bangalore/@12.9105564,77.5926032,15z/data=!4m6!3m5!1s0x3bae1511d86e49b3:0xd6f50162fa556f84!8m2!3d12.9105564!4d77.5926032!16s%2Fg%2F11tnc95qfn?entry=ttu", India Excellence Award 2022,,2.19
Brightside Innotech LLP,Homes Under Budget,"HUB is a highly qualified interior designing company, with the right mix of skills, creativity, and ethics. The company was incorporated in 2019 in Bangalore. Over 1500 homes have been designed and decorated since its inception.
HUB was formed under the premise of there would be no hidden costs, no price hikes, no delays, and guaranteed delivery within 49 days. The founders have vast experience in comprehensive planning and designing of multi phased residential and non-residential developments. With experience, the team is known for an eye for detail, strong organizational and project management capabilities too.
Getting the brief right is the biggest hurdle to be overcome and at HUB, the team rightfully interprets the brief and delivers design solutions representing a sense of style and at the same time being economically feasible.",7,Bengaluru,https://homesunderbudget.com/,Ranjith P Raj,Founder,918898892223,1 to 50 Lakhs,Residential,7_logo.jpg,7_a.jpg,7_b.jpg,7_c.jpg,7_d.jpg,7_e.jpg,7_f.jpg,7_g.jpg,7_h.jpg,7_i.jpg,7_j.jpg,,1300.0,,7_reviews.jpg,hello@homesunderbudget.com,4.6,217,"https://www.google.com/maps/place/Homes+Under+Budget+%7C+Best+interior+designer+in+Bangalore/@13.0100463,77.6622537,15z/data=!4m6!3m5!1s0x3bae173c0898f0f7:0xa35bd4541e5abf30!8m2!3d13.0100463!4d77.6622537!16s%2Fg%2F11h3bg0szc?entry=ttu"," Designer of the year- 2019 Budget Interiors, Homepreneur Awards - 2019",,2.17
Veva Designs,Veva Designs,"We are a group of talented professionals passionate about interior design, art, and aesthetics, driven by a desire to provide you with a seamless interior design experience. By listening to your preferences and adding our expertise, we create home decor that reflects your personality. VE-VA designs are available in Bangalore & Tumkur, so get started on creating your dream home.",5,"Bengaluru, Tumkur",http://vevadesigns.in/,Shashi Kiran Pawar,Co-Founder,919886557175,1 to 50 Lakhs,Residential,8_logo.jpg,8_a.jpg,8_b.jpg,8_c.jpg,8_d.jpg,8_e.jpg,8_f.jpg,8_g.jpg,8_h.jpg,8_i.jpg,8_j.jpg,,,,8_reviews.jpg,info@vevadesigns.in,4.8,52,"https://www.google.com/maps/place/Veva+Designs/@12.983148,77.511247,15z/data=!4m6!3m5!1s0x3bae15c3756df3d5:0x273bd48c99a866df!8m2!3d12.983148!4d77.511247!16s%2Fg%2F11f7r2p7yg?entry=ttu",,,1.0
Bhawani Interior Design Studio®,Bhawani Interiors,"Here at Bhawani interiors, we provide a full range of interior design services around Bengaluru, whether you’re looking to spruce up your home in preparation to sell or need some general guidance. We truly believe that good design doesn’t have to be expensive and we can offer advice to suit all budgets and styles. Your home should be a place to relax, unwind, and be a reflection of your personality – let an interior designer help you get there by dropping us a line on 7676192052.",,Bengaluru,https://bhawani-interiors.ueniweb.com/,Babulal B,Founder,917676192052,1 to 50 Lakhs,Residential,9_logo.jpg,9_a.jpg,9_b.jpg,9_c.jpg,9_d.jpg,9_e.jpg,9_f.jpg,9_g.jpg,9_h.jpg,9_i.jpg,9_j.jpg,,,,9_reviews.jpg,bhawani.interiors@yahoo.com,4.8,308,"https://www.google.com/maps/place/Bhawani+Interior+Design+Studio+(R)+Modular+Kitchen%7C+wardrobes%7C+Top+Interior+Designers+Bangalore+%7C+Home+interiors/@12.8996834,77.747759,15z/data=!4m6!3m5!1s0x3bae135cdc476ddf:0x66746ed126fca655!8m2!3d12.8996834!4d77.747759!16s%2Fg%2F11h18ct1g2?entry=ttu",,,0.96
Dezign Code,Dezign Code,"DeZign Code offers comprehensive interior design services for home and office. This business will assist those that want to have guidance and council in developing a basic design concept of their project, to the person that desires someone to take it from concept to complete implementation.
DeZign Code will offer the ability for clients to purchase new and antique furniture, artwork, decorator fabric, and home accessories. The website www.thedezigncode.com will be used as another way to communicate the services available and provide a portfolio of the work accomplished. The business is hosted in our own facility and thus the business is expected to remain in this structure through at least for three more years.",10,Bengaluru,https://thedezigncode.com/,Chetan Patel,Founder,916366939113,1 to 50 Lakhs,"Residential, Commercial",10_logo.jpg,10_a.jpg,10_b.jpg,10_c.jpg,10_d.jpg,10_e.jpg,10_f.jpg,10_g.jpg,10_h.jpg,10_i.jpg,10_j.jpg,,200.0,,10_reviews.jpg,chetan@thedezigncode.com,4.8,129,"https://www.google.com/maps/place/Dezign+Code+-+Interior+Designers+%7C+Experience+Center/@12.9067254,77.6360698,15z/data=!4m2!3m1!1s0x0:0xce5771abf51d8d01?sa=X&ved=1t:2428&ictx=111",,,1.96
